method,status,setup_mean_seconds,setup_std_seconds,vanilla_forward_mean_seconds,vanilla_forward_std_seconds,detector_forward_mean_seconds,detector_forward_std_seconds,additional_forward_mean_seconds,additional_forward_std_seconds,error,checkpoint
energy,ok,0.0,0.0,0.02254746666666681,0.0013343367278663288,0.02452516666666682,0.0017879546563971218,0.0019777000000000093,0.002230972065415695,,nj4h2q2c_amazon_ratings_val_f1=0.6369.ckpt
knn,ok,0.020081399999999878,0.00041407242120123077,0.024411733333333647,0.0020578779758124617,0.24815850000000003,0.00458418814186339,0.22374676666666637,0.0050249022560976166,,nj4h2q2c_amazon_ratings_val_f1=0.6369.ckpt
mahalanobis,ok,0.026945566666666327,0.0008358960840525411,0.022569533333333187,0.0006029345099867967,0.02513310000000028,0.0013526446355198241,0.002563566666667093,0.0014809380585742188,,nj4h2q2c_amazon_ratings_val_f1=0.6369.ckpt
odin,ok,0.0,0.0,0.02272073333333265,0.0005219769088117641,0.08045933333333366,0.0004846178941525268,0.057738600000001014,0.000712260062523173,,nj4h2q2c_amazon_ratings_val_f1=0.6369.ckpt
energy,ok,0.0,0.0,0.02290763333333305,0.0022835004933948527,0.024030433333334027,0.0015029927788687142,0.0011228000000009786,0.0027337450131030942,,ewzbmecp_amazon_ratings_val_f1=0.6365.ckpt
knn,ok,0.023570866666666745,0.00574681086545598,0.029842133333332892,0.008322514528874449,0.23052590000000053,0.006389600809909713,0.20068376666666765,0.010492437590632843,,ewzbmecp_amazon_ratings_val_f1=0.6365.ckpt
mahalanobis,ok,0.02841313333333358,0.0015251337132646406,0.023158899999999722,0.0003733206530578865,0.02540480000000045,0.0006357194271055262,0.002245900000000727,0.0007372296114501541,,ewzbmecp_amazon_ratings_val_f1=0.6365.ckpt
odin,ok,0.0,0.0,0.02246723333333378,0.00019637149317892888,0.08100583333333351,0.000620087423943223,0.05853859999999973,0.0006504384495598831,,ewzbmecp_amazon_ratings_val_f1=0.6365.ckpt
energy,ok,0.0,0.0,0.022129966666666334,0.0010849539729104831,0.02320329999999989,0.0004905128234814279,0.0010733333333335544,0.0011906838175325823,,j9quvbdi_amazon_ratings_val_f1=0.6365.ckpt
knn,ok,0.019745666666665922,0.0002444767746290817,0.040577500000000676,0.027118399614283358,0.3042950333333329,0.0716768740638384,0.26371753333333225,0.07663538264537675,,j9quvbdi_amazon_ratings_val_f1=0.6365.ckpt
mahalanobis,ok,0.030182599999999837,0.0017130442726327377,0.02640876666666614,0.0009502147143326885,0.02644576666666687,0.002037703661805128,3.700000000073089e-05,0.002248364787277274,,j9quvbdi_amazon_ratings_val_f1=0.6365.ckpt
odin,ok,0.0,0.0,0.02734176666666599,0.0009585261829148299,0.09214176666666656,0.0007187408735655794,0.06480000000000057,0.001198065476786259,,j9quvbdi_amazon_ratings_val_f1=0.6365.ckpt
