method,status,setup_mean_seconds,setup_std_seconds,vanilla_forward_mean_seconds,vanilla_forward_std_seconds,detector_forward_mean_seconds,detector_forward_std_seconds,additional_forward_mean_seconds,additional_forward_std_seconds,error,checkpoint
energy,ok,0.0,0.0,0.21364646666666656,0.01566271214902822,0.21479489999999934,0.00429906029615793,0.0011484333333327823,0.01624199714608144,,4fd33b8n_arxiv_val_f1=0.5201.ckpt
knn,ok,0.17382520000000015,0.006832475717482713,0.21829763333333277,0.004790294325334607,16.58365076666667,0.29016858874415336,16.365353133333336,0.290208126718562,,4fd33b8n_arxiv_val_f1=0.5201.ckpt
mahalanobis,ok,0.21979510000000127,0.018931484721754193,0.19998486666666557,0.006083807931168498,0.2168331666666674,0.005453417887284114,0.016848300000001842,0.008170219433815658,,4fd33b8n_arxiv_val_f1=0.5201.ckpt
odin,ok,0.0,0.0,0.20161623333333267,0.0034106550636674353,0.6667406999999983,0.022196144333419553,0.4651244666666656,0.022456655833701357,,4fd33b8n_arxiv_val_f1=0.5201.ckpt
energy,ok,0.0,0.0,0.19778583333332733,0.007073811279884447,0.21817779999999706,0.005509449657640677,0.02039196666666973,0.0089662055270609,,69havk2g_arxiv_val_f1=0.5195.ckpt
knn,ok,0.2181825666666697,0.049401743048640034,0.2158718666666696,0.007163697070878762,16.754352766666667,0.22002022345253275,16.538480899999996,0.2201368149215977,,69havk2g_arxiv_val_f1=0.5195.ckpt
mahalanobis,ok,0.20931990000000647,0.0033309351704859116,0.20886650000000392,0.012468510426264382,0.21517173333333517,0.0019054374362209741,0.006305233333331245,0.01261326460807098,,69havk2g_arxiv_val_f1=0.5195.ckpt
odin,ok,0.0,0.0,0.1993312333333345,0.0066339532515152285,0.631208266666666,0.010276399146747503,0.4318770333333315,0.012231668535672568,,69havk2g_arxiv_val_f1=0.5195.ckpt
energy,ok,0.0,0.0,0.19529776666666976,0.005763301985258931,0.20653059999999832,0.0014501852536794387,0.011232833333328557,0.0059429527209358506,,wylldzr9_arxiv_val_f1=0.5195.ckpt
knn,ok,0.17327366666666913,0.0023579734462781895,0.20737270000000288,0.004110386318813871,16.30046326666667,0.08597647586575026,16.093090566666667,0.08607467500945809,,wylldzr9_arxiv_val_f1=0.5195.ckpt
mahalanobis,ok,0.21412416666666445,0.0043532450348318305,0.20374996666666334,0.000865228422635248,0.21089930000001308,0.0029883107987596844,0.007149333333349744,0.0031110483206339985,,wylldzr9_arxiv_val_f1=0.5195.ckpt
odin,ok,0.0,0.0,0.19900943333333507,0.003551554624861904,0.6237656333333348,0.0033578227653142845,0.4247561999999997,0.004887587746183269,,wylldzr9_arxiv_val_f1=0.5195.ckpt
