method,status,setup_mean_seconds,setup_std_seconds,vanilla_forward_mean_seconds,vanilla_forward_std_seconds,detector_forward_mean_seconds,detector_forward_std_seconds,additional_forward_mean_seconds,additional_forward_std_seconds,error,checkpoint
energy,ok,0.0,0.0,0.008249533333333522,0.0003647960023541266,0.009197399999999986,0.001479189768082396,0.0009478666666664637,0.0015235086128188458,,e9pwnd6f_chameleon_val_f1=0.5662.ckpt
knn,ok,0.009620733333333575,0.0011003637640948866,0.011207033333333468,0.0007540176677865212,0.018406500000000214,0.002843887657766881,0.007199466666666746,0.0029421488156334006,,e9pwnd6f_chameleon_val_f1=0.5662.ckpt
mahalanobis,ok,0.018719466666666722,0.010896080933222032,0.00940596666666682,0.0016498342381382188,0.01160313333333344,0.0037227636324820685,0.00219716666666662,0.0040719678383631915,,e9pwnd6f_chameleon_val_f1=0.5662.ckpt
odin,ok,0.0,0.0,0.008921666666666717,0.0012307336280989445,0.03819943333333331,0.0022441640678285686,0.029277766666666594,0.0025594877664615744,,e9pwnd6f_chameleon_val_f1=0.5662.ckpt
energy,ok,0.0,0.0,0.009511033333332955,0.0010096092924161402,0.009278666666666583,0.0007439228544226665,-0.00023236666666637262,0.0012540861759326538,,lxz52z7e_chameleon_val_f1=0.5594.ckpt
knn,ok,0.008567333333333297,0.00041826075997321803,0.010518833333333255,0.0002360455535131895,0.016018166666666406,0.0005378435584195821,0.005499333333333151,0.0005873612148131561,,lxz52z7e_chameleon_val_f1=0.5594.ckpt
mahalanobis,ok,0.01182559999999988,0.0004372979419115192,0.01092966666666643,0.00030191009147266886,0.011126000000000266,0.00011873638869393733,0.00019633333333383615,0.000324419532909338,,lxz52z7e_chameleon_val_f1=0.5594.ckpt
odin,ok,0.0,0.0,0.008361733333333158,0.0003472702885841339,0.035921533333333144,0.0025733527397794787,0.02755979999999999,0.002596678835871671,,lxz52z7e_chameleon_val_f1=0.5594.ckpt
energy,ok,0.0,0.0,0.008601066666666787,0.0004196084047456801,0.009573433333332678,0.00010771890889392307,0.0009723666666658914,0.0004332142387624301,,zflp8axw_chameleon_val_f1=0.5114.ckpt
knn,ok,0.00910906666666674,0.00022152689076890394,0.00998720000000001,0.0013328835245439439,0.015836566666666958,0.0007055035813756049,0.005849366666666947,0.0015080828204493582,,zflp8axw_chameleon_val_f1=0.5114.ckpt
mahalanobis,ok,0.011401533333332972,0.0003498679798628899,0.010232033333333371,0.0003364292842976485,0.010311333333333414,0.0012285084710059115,7.930000000004253e-05,0.0012737416247678766,,zflp8axw_chameleon_val_f1=0.5114.ckpt
odin,ok,0.0,0.0,0.008646933333332996,0.0003591643681290735,0.03779193333333394,0.0022325246904191885,0.02914500000000094,0.0022612309781764556,,zflp8axw_chameleon_val_f1=0.5114.ckpt
