method,status,setup_mean_seconds,setup_std_seconds,vanilla_forward_mean_seconds,vanilla_forward_std_seconds,detector_forward_mean_seconds,detector_forward_std_seconds,additional_forward_mean_seconds,additional_forward_std_seconds,error,checkpoint
energy,ok,0.0,0.0,0.11753563333333379,0.00937273540773074,0.12295689999999955,0.0047786395856981015,0.005421266666665758,0.010520625709211903,,iqtvi6dk_coauthor_val_f1=0.9537.ckpt
knn,ok,0.118417133333334,0.005078164093777935,0.12279466666666632,0.0008631700025681016,0.3717711666666664,0.010682756596184504,0.24897650000000004,0.010717572063982446,,iqtvi6dk_coauthor_val_f1=0.9537.ckpt
mahalanobis,ok,0.12936169999999989,0.010381733254616008,0.1185558000000005,0.004236210286329156,0.1262088333333337,0.003707589543535934,0.007653033333333184,0.005629537975121755,,iqtvi6dk_coauthor_val_f1=0.9537.ckpt
odin,ok,0.0,0.0,0.12979093333333402,0.014049939110306832,1.2536264333333336,0.898592096366557,1.1238354999999995,0.8987019285844706,,iqtvi6dk_coauthor_val_f1=0.9537.ckpt
energy,ok,0.0,0.0,0.14754190000000142,0.02035771886705463,0.16116943333333347,0.02895208736971025,0.013627533333332054,0.03539293828623682,,96lsiwam_coauthor_val_f1=0.9470.ckpt
knn,ok,0.13361029999999965,0.004644442312055003,0.13584639999999956,0.002127441127269656,0.41862923333333296,0.018527980545468843,0.2827828333333334,0.01864972034222686,,96lsiwam_coauthor_val_f1=0.9470.ckpt
mahalanobis,ok,0.13429193333333345,0.0022188205973755187,0.13076870000000085,0.00516403790942833,0.13884186666666665,0.008372698328100087,0.008073166666665799,0.009837142106495306,,96lsiwam_coauthor_val_f1=0.9470.ckpt
odin,ok,0.0,0.0,0.12585843333333221,0.0034585553766453385,0.6271794333333318,0.014425732000952417,0.5013209999999996,0.014834532316747468,,96lsiwam_coauthor_val_f1=0.9470.ckpt
energy,ok,0.0,0.0,0.119344133333333,0.005969234940368826,0.11907509999999988,0.006060622671806675,-0.00026903333333312685,0.00850663934484924,,mn0y80cl_coauthor_val_f1=0.9424.ckpt
knn,ok,0.11158779999999997,0.0013763811935648684,0.1248003666666655,0.008825735245481222,0.39207403333333346,0.0013013931202106531,0.26727366666666796,0.008921167338227723,,mn0y80cl_coauthor_val_f1=0.9424.ckpt
mahalanobis,ok,0.12910336666666566,0.002314092047288966,0.12389976666666531,0.0022785286180632153,0.13063376666666807,0.005088206212737323,0.006734000000002752,0.005575081625112924,,mn0y80cl_coauthor_val_f1=0.9424.ckpt
odin,ok,0.0,0.0,0.12203529999999911,0.001433836256341388,0.6395024333333339,0.007850398418127387,0.5174671333333348,0.007980265768339804,,mn0y80cl_coauthor_val_f1=0.9424.ckpt
