method,status,setup_mean_seconds,setup_std_seconds,vanilla_forward_mean_seconds,vanilla_forward_std_seconds,detector_forward_mean_seconds,detector_forward_std_seconds,additional_forward_mean_seconds,additional_forward_std_seconds,error,checkpoint
energy,ok,0.0,0.0,0.005601266666666642,0.0005489451369068893,0.006016433333333164,0.0009041859672289699,0.00041516666666652213,0.0010577773993934222,,rz9l4nlx_cora_val_f1=0.9521.ckpt
knn,ok,0.004664166666666543,0.00022669782383862857,0.006073066666666627,0.0007685651588075891,0.013597166666666993,0.001286082199290486,0.007524100000000367,0.0014982322338892554,,rz9l4nlx_cora_val_f1=0.9521.ckpt
mahalanobis,ok,0.00792200000000006,0.00014211942161470114,0.0064335666666668345,0.00025817763910377213,0.007815033333333036,0.0013383010361398703,0.001381466666666201,0.001362976653015835,,rz9l4nlx_cora_val_f1=0.9521.ckpt
odin,ok,0.0,0.0,0.005530533333333014,0.00044899289897850584,0.02422006666666654,0.000702689841489939,0.018689533333333525,0.0008338870646953808,,rz9l4nlx_cora_val_f1=0.9521.ckpt
energy,ok,0.0,0.0,0.005094466666666501,0.0008705215524806023,0.005062133333333089,0.0006769722101633224,-3.233333333341193e-05,0.0011027688545958538,,i0ecwdnk_cora_val_f1=0.9461.ckpt
knn,ok,0.004598699999998956,0.0002809822058419756,0.0060721666666676555,0.00019425118618242695,0.013191633333333877,0.0004320301648420651,0.007119466666666222,0.0004736914466894477,,i0ecwdnk_cora_val_f1=0.9461.ckpt
mahalanobis,ok,0.007026333333332839,0.00011295062343118334,0.005763833333333561,0.0003082944912465963,0.006745366666667252,0.0001414275197161109,0.000981533333333691,0.0003391861386702714,,i0ecwdnk_cora_val_f1=0.9461.ckpt
odin,ok,0.0,0.0,0.005248433333334172,0.0005166907618039709,0.025306333333332987,0.0021110530839693973,0.020057899999998813,0.0021733647799369233,,i0ecwdnk_cora_val_f1=0.9461.ckpt
energy,ok,0.0,0.0,0.005645133333333163,0.0004841765621470661,0.006131866666666615,0.000650761756200806,0.0004867333333334516,0.0008111213267237578,,ft72qzvd_cora_val_f1=0.9401.ckpt
knn,ok,0.005954066666666573,0.0002702015975773348,0.008317833333332914,0.0014228948286264915,0.018223733333333197,0.002709901094751735,0.009905900000000283,0.0030607505021920133,,ft72qzvd_cora_val_f1=0.9401.ckpt
mahalanobis,ok,0.010775699999999944,0.0027535206173181733,0.007333666666666498,0.0009141109414803793,0.008429399999999513,0.0019518033738055716,0.0010957333333330146,0.0021552575770271538,,ft72qzvd_cora_val_f1=0.9401.ckpt
odin,ok,0.0,0.0,0.005648800000000047,0.0011801983392635506,0.03911833333333329,0.022149878296354293,0.033469533333333246,0.022181297903037762,,ft72qzvd_cora_val_f1=0.9401.ckpt
