method,status,setup_mean_seconds,setup_std_seconds,vanilla_forward_mean_seconds,vanilla_forward_std_seconds,detector_forward_mean_seconds,detector_forward_std_seconds,additional_forward_mean_seconds,additional_forward_std_seconds,error,checkpoint
energy,ok,0.0,0.0,0.017264433333333606,0.0013704617664614786,0.018679133333333375,0.000583612794011258,0.001414699999999769,0.0014895534051071627,,3qu0v04a_roman_empire_val_f1=0.2649.ckpt
knn,ok,0.01418106666666663,0.0007938139601524197,0.0198126666666667,0.0015731727474544495,0.23734430000000017,0.007590919962692317,0.21753163333333347,0.007752221512143091,,3qu0v04a_roman_empire_val_f1=0.2649.ckpt
mahalanobis,ok,0.02641616666666735,0.0019703621350733547,0.018761233333333276,0.0017314296703405043,0.03089659999999957,0.0018026434450555706,0.012135366666666293,0.002499474363408683,,3qu0v04a_roman_empire_val_f1=0.2649.ckpt
odin,ok,0.0,0.0,0.016763566666666563,0.0008288369944282547,0.06623733333333288,0.0016782024738795347,0.04947376666666632,0.0018717196121930905,,3qu0v04a_roman_empire_val_f1=0.2649.ckpt
energy,ok,0.0,0.0,0.017018400000000728,0.0005090240465825681,0.018019766666666232,0.0012228641802473972,0.0010013666666655041,0.0013245762655775739,,gzuvnddx_roman_empire_val_f1=0.2568.ckpt
knn,ok,0.014546866666666602,0.0006555665514152446,0.01831366666666649,0.000581583874719589,0.23971286666666694,0.0031787997991904707,0.22139920000000046,0.003231564321913959,,gzuvnddx_roman_empire_val_f1=0.2568.ckpt
mahalanobis,ok,0.02444583333333365,0.001247085828374429,0.018671799999999905,0.0012725595113782754,0.030460199999999677,0.0019478598024498404,0.011788399999999772,0.0023267070120664628,,gzuvnddx_roman_empire_val_f1=0.2568.ckpt
odin,ok,0.0,0.0,0.01830989999999962,0.0019516850181322898,0.0674705333333332,0.001598584424837048,0.04916063333333358,0.002522805298340249,,gzuvnddx_roman_empire_val_f1=0.2568.ckpt
energy,ok,0.0,0.0,0.01731226666666667,0.00045483630388655987,0.018832533333333974,0.00043635483649604834,0.001520266666667304,0.0006303027896707107,,dqmedoyu_roman_empire_val_f1=0.2100.ckpt
knn,ok,0.014533533333333182,0.0007047626148800292,0.01904996666666688,0.000596635377206112,0.25530823333333313,0.02233496475603449,0.23625826666666624,0.022342932314864956,,dqmedoyu_roman_empire_val_f1=0.2100.ckpt
mahalanobis,ok,0.02352396666666638,0.0004158313881052039,0.017728199999999934,0.0007075465567718729,0.02936059999999981,0.0015137249816258146,0.011632399999999876,0.0016709235320617774,,dqmedoyu_roman_empire_val_f1=0.2100.ckpt
odin,ok,0.0,0.0,0.017207633333332712,0.0007727873338336654,0.0686799666666668,0.0009654834246807448,0.05147233333333409,0.001236672352188325,,dqmedoyu_roman_empire_val_f1=0.2100.ckpt
