method,status,setup_mean_seconds,setup_std_seconds,vanilla_forward_mean_seconds,vanilla_forward_std_seconds,detector_forward_mean_seconds,detector_forward_std_seconds,additional_forward_mean_seconds,additional_forward_std_seconds,error,checkpoint
energy,ok,0.0,0.0,0.03635743333333311,0.00020144682507667805,0.036991066666666704,0.0005421243615013066,0.0006336333333335914,0.0005783421536311123,,5vlg5fsc_squirrel_val_f1=0.4033.ckpt
knn,ok,0.031080966666666637,0.001631549574280273,0.04195100000000007,0.0034790723260666023,0.05899156666666627,0.002516768154466213,0.0170405666666662,0.004293956938924487,,5vlg5fsc_squirrel_val_f1=0.4033.ckpt
mahalanobis,ok,0.047446000000000176,0.009630014579947015,0.036181900000000176,0.0013766097086691687,0.03818129999999975,0.002077585394154871,0.001999399999999575,0.002492271124899509,,5vlg5fsc_squirrel_val_f1=0.4033.ckpt
odin,ok,0.0,0.0,0.035873133333333605,0.000972228992230832,0.1260293333333339,0.0006429888827454435,0.0901562000000003,0.0011656173972056237,,5vlg5fsc_squirrel_val_f1=0.4033.ckpt
energy,ok,0.0,0.0,0.03533496666666558,0.0005264026627339318,0.036644299999999554,0.001688073923143867,0.0013093333333339743,0.0017682458350952504,,ruynhnvu_squirrel_val_f1=0.4033.ckpt
knn,ok,0.029815299999999805,0.0008327018914356842,0.03862330000000055,0.0008149366662503023,0.056269233333333446,0.0015633251271994857,0.0176459333333329,0.0017629824795874873,,ruynhnvu_squirrel_val_f1=0.4033.ckpt
mahalanobis,ok,0.039061900000000684,0.001900463340871823,0.036757566666667074,0.0017765248839613,0.036391333333333144,0.0006187647398909143,-0.00036623333333393043,0.0018811992097239412,,ruynhnvu_squirrel_val_f1=0.4033.ckpt
odin,ok,0.0,0.0,0.03489003333333329,0.0024771115544781567,0.1262841333333332,0.0016277431933004033,0.0913940999999999,0.002964056267459338,,ruynhnvu_squirrel_val_f1=0.4033.ckpt
energy,ok,0.0,0.0,0.04355249999999996,0.015095904759569179,0.0365848333333331,0.0038189532025582813,-0.006967666666666858,0.015571472122869872,,m8kh94xe_squirrel_val_f1=0.3798.ckpt
knn,ok,0.029401966666666723,0.0010322000306786892,0.03812806666666605,0.00011223018013526058,0.05564173333333322,0.0020642354912495217,0.01751366666666717,0.0020672841547952105,,m8kh94xe_squirrel_val_f1=0.3798.ckpt
mahalanobis,ok,0.040359033333333606,0.0011801787251654301,0.03547790000000006,0.0005270312704189118,0.03556096666666697,0.000984450228977172,8.306666666690887e-05,0.0011166486525906788,,m8kh94xe_squirrel_val_f1=0.3798.ckpt
odin,ok,0.0,0.0,0.03386806666666627,0.0005635015646232257,0.12393453333333386,0.00013747219112793965,0.0900664666666676,0.0005800281171342819,,m8kh94xe_squirrel_val_f1=0.3798.ckpt
