run_id,run_name,dataset,model,gnn_type,hidden_channels,num_layers,lr,weight_decay,batch_size,train_loss,train_bce,train_mr,train_acc,val_loss,val_f1,val_auroc_entropy,test_acc_id,test_auroc_entropy,epoch,num_id_classes,focal_strategy,num_output_heads
ah9ts2v9,run-20260404_192847-ah9ts2v9,arxiv,random_set,GAT,64,2,0.03520756182915945,0.0599362935595014,256,0.5566399693489075,0.5564422011375427,0.05128104239702225,0.48275861144065857,0.5607092976570129,0.4245055913925171,0.5410841703414917,0.4153125286102295,0.5437840819358826,108.0,3,full_power_set,7
76igddor,run-20260404_194128-76igddor,arxiv,random_set,GAT,128,3,0.08406975291706585,0.009714014457299604,256,0.5598790645599365,0.5598257184028625,0.02487076260149479,0.29729729890823364,0.5426095128059387,0.4204207956790924,0.5609266757965088,0.41700682044029236,0.5617851614952087,124.0,3,full_power_set,7
34qnnlh9,run-20260404_200805-34qnnlh9,arxiv,random_set,GAT,256,3,0.04102311230467027,0.07106611440772535,256,0.6233144998550415,0.6228353381156921,0.14240209758281708,0.40310078859329224,0.6225870847702026,0.4182296395301819,0.5,0.41818416118621826,0.5,110.0,3,full_power_set,7
13dp7v84,run-20260404_204649-13dp7v84,arxiv,random_set,GAT,64,3,0.015209773385903208,0.08778625043487132,256,0.6246908903121948,0.6241804957389832,0.15257272124290466,0.6086956262588501,0.6305692791938782,0.42145100235939026,0.5,0.41716840863227844,0.5,84.0,3,full_power_set,7
cbg6ba6k,run-20260404_210101-cbg6ba6k,arxiv,random_set,GAT,64,2,0.010905621409778837,0.0409991691823527,256,0.5583337545394897,0.5581949353218079,0.03762022405862808,0.41111111640930176,0.5546388626098633,0.4162728786468506,0.5382333397865295,0.41672778129577637,0.5427762269973755,77.0,3,full_power_set,7
5cta82qd,run-20260404_211004-5cta82qd,arxiv,random_set,GAT,128,3,0.09588202070897034,0.03463364737163729,256,0.5587422847747803,0.5586095452308655,0.03767713904380798,0.375,0.554421067237854,0.41401737928390503,0.5531821846961975,0.41702455282211304,0.5566735863685608,156.0,3,full_power_set,7
gzqw1p3r,run-20260404_214359-gzqw1p3r,arxiv,random_set,GAT,128,2,0.08893923228057576,0.01656906001822709,256,0.537484884262085,0.537432074546814,0.01527260709553957,0.4457831382751465,0.5436941385269165,0.42142120003700256,0.5133457183837891,0.4150652587413788,0.5209842920303345,139.0,3,full_power_set,7
sxeota4n,run-20260404_220254-sxeota4n,arxiv,random_set,GAT,256,3,0.09998643650905358,0.0029303278096525372,256,6.145381927490234,6.145096302032471,0.2857142984867096,0.17777778208255768,6.114480495452881,0.32842546701431274,0.5,0.3234381675720215,0.5,74.0,3,full_power_set,7
sgj7od4y,run-20260404_222922-sgj7od4y,arxiv,random_set,GAT,256,3,0.005172455256900446,0.032255658733581445,256,0.5495188236236572,0.5494256615638733,0.020192991942167282,0.4615384638309479,0.5491495132446289,0.41813796758651733,0.5420386791229248,0.4229927361011505,0.5419830679893494,103.0,3,full_power_set,7
baco6b3c,run-20260404_230619-baco6b3c,arxiv,random_set,GAT,256,3,0.09186441911307835,0.05536053227044797,256,0.6086446046829224,0.6082321405410767,0.12198568135499954,0.40265485644340515,0.6055005192756653,0.41703590750694275,0.5,0.4160311818122864,0.5,61.0,3,full_power_set,7
vt58fvz1,run-20260404_232909-vt58fvz1,arxiv,random_set,GAT,128,2,0.013780565709506485,0.03851965045759078,256,0.5541428923606873,0.5540065169334412,0.03735588863492012,0.43820226192474365,0.5543467402458191,0.4158102571964264,0.5484064817428589,0.41912737488746643,0.5469869375228882,51.0,3,full_power_set,7
1unyflo9,run-20260404_233626-1unyflo9,arxiv,random_set,GAT,128,2,0.03596725515337491,0.02318526277315339,256,0.5527130365371704,0.5526455044746399,0.017584245651960373,0.38596490025520325,0.5451240539550781,0.42116379737854004,0.5563890337944031,0.41435563564300537,0.5636434555053711,200.0,3,full_power_set,7
37m40z1x,run-20260405_000439-37m40z1x,arxiv,random_set,GAT,128,2,0.021517713323722355,0.007843014181963976,256,0.5389209985733032,0.5388979315757751,0.006640658248215914,0.3907284736633301,0.5391348600387573,0.42214563488960266,0.4980502128601074,0.41315221786499023,0.49383020401000977,146.0,3,full_power_set,7
fq05nc32,run-20260405_002514-fq05nc32,arxiv,random_set,GAT,64,2,0.07821285246696563,0.05884192498620108,256,0.5693241357803345,0.5691261291503906,0.050272367894649506,0.3813559412956238,0.5650765299797058,0.42041730880737305,0.5288428068161011,0.4138227701187134,0.5337979197502136,143.0,3,full_power_set,7
y6rfuqb5,run-20260405_004253-y6rfuqb5,arxiv,random_set,GAT,128,3,0.04950520625987235,0.03459523937312541,256,0.555006206035614,0.5548676252365112,0.0416940338909626,0.4308300316333771,0.5549523234367371,0.4250870943069458,0.5462851524353027,0.4184150695800781,0.5464153289794922,53.0,3,full_power_set,7
zyft9j6i,run-20260405_005518-zyft9j6i,arxiv,random_set,GAT,64,2,0.0785411920863509,0.07286146975632204,256,0.5887404680252075,0.5884231925010681,0.09719883650541306,0.4117647111415863,0.5862426161766052,0.323878675699234,0.5243195295333862,0.3228458762168884,0.5272587537765503,68.0,3,full_power_set,7
302sn8b6,run-20260405_010345-302sn8b6,arxiv,random_set,GAT,128,3,0.05093750990459378,0.07778328593066529,256,0.6618660092353821,0.6613718271255493,0.1484048068523407,0.0,0.6279779672622681,0.4210934340953827,0.5,0.4174986183643341,0.5,106.0,3,full_power_set,7
le2xalce,run-20260405_012756-le2xalce,arxiv,random_set,GAT,256,3,0.04835487822948317,0.09632172282619808,256,0.63199383020401,0.6314710974693298,0.15569162368774414,0.4759615361690521,0.633452832698822,0.4236140847206116,0.49994972348213196,0.4123059809207916,0.5000420808792114,73.0,3,full_power_set,7
seraoqyg,run-20260405_015507-seraoqyg,arxiv,random_set,GAT,256,2,0.03219119531913023,0.047646940416018906,256,0.5602205395698547,0.5600970983505249,0.027026766911149025,0.35555556416511536,0.5593953728675842,0.41683831810951233,0.5520409941673279,0.4208662509918213,0.5547394156455994,180.0,3,full_power_set,7
lp7zud80,run-20260405_022902-lp7zud80,arxiv,random_set,GAT,128,2,0.05369536926011308,0.03564198905608084,256,0.5591390132904053,0.5590223670005798,0.03134060278534889,0.4270833432674408,0.5554043054580688,0.4121352434158325,0.526314377784729,0.4230037331581116,0.5348998308181763,62.0,3,full_power_set,7
ckf7gafo,run-20260405_023754-ckf7gafo,arxiv,random_set,GAT,64,2,0.001923110314728395,0.08678593535156781,256,0.6454564332962036,0.6449478268623352,0.15191593766212463,0.20000000298023224,0.6301745772361755,0.41742271184921265,0.5,0.4134999215602875,0.5,51.0,3,full_power_set,7
27gqriy5,run-20260405_024422-27gqriy5,arxiv,random_set,GAT,256,2,0.013057332507987853,0.0861666770608802,256,0.6313506960868835,0.6308430433273315,0.15167440474033356,0.3684210479259491,0.6300509572029114,0.4208710789680481,0.5,0.4198831021785736,0.5,73.0,3,full_power_set,7
q5su5rzl,run-20260405_025819-q5su5rzl,arxiv,random_set,GAT,256,2,0.013495328933696876,0.009861842950120369,256,0.5425140261650085,0.5424859523773193,0.008267040364444256,0.38513514399528503,0.5404618382453918,0.41752997040748596,0.5387455224990845,0.4189714789390564,0.5412313938140869,65.0,3,full_power_set,7
ax83y4ol,run-20260405_031100-ax83y4ol,arxiv,random_set,GAT,128,3,0.0641929990617709,0.03385512015641977,256,0.5545555353164673,0.5544571280479431,0.01914999634027481,0.3888888955116272,0.5502538084983826,0.41812726855278015,0.560543417930603,0.41583260893821716,0.5647493600845337,61.0,3,full_power_set,7
fpfup5dh,run-20260405_032518-fpfup5dh,arxiv,random_set,GAT,256,3,0.03708734816398088,0.025031158358979,256,0.5764744877815247,0.5763593316078186,0.03972742334008217,0.23076923191547394,0.5556848645210266,0.4133758246898651,0.5444831252098083,0.42057156562805176,0.5427901148796082,64.0,3,full_power_set,7
kn1kihtt,run-20260405_034934-kn1kihtt,arxiv,random_set,GAT,128,3,0.09676985529551554,0.041554179540030066,256,0.5880420804023743,0.5877240300178528,0.09364782273769379,0.4054054021835327,0.5855817198753357,0.4151540994644165,0.5,0.41793760657310486,0.5,64.0,3,full_power_set,7
f06s740a,run-20260405_040416-f06s740a,arxiv,random_set,GAT,128,2,0.01610962305939831,0.017606412614092695,256,0.5354539752006531,0.5354124307632446,0.007757931482046843,0.4482758641242981,0.5426904559135437,0.41696813702583313,0.5313581228256226,0.41994398832321167,0.5277240872383118,77.0,3,full_power_set,7
b0w0aams,run-20260405_041534-b0w0aams,arxiv,random_set,GAT,256,2,0.08129318323111472,0.07040314867821293,256,0.5773095488548279,0.5770319104194641,0.08145236223936081,0.41489362716674805,0.5767151117324829,0.4155782461166382,0.548639714717865,0.41890960931777954,0.5543333292007446,200.0,3,full_power_set,7
