run_id,run_name,dataset,model,gnn_type,hidden_channels,num_layers,lr,weight_decay,batch_size,singletons_only,loss_ablation,use_bce_loss,use_mr_loss,use_ms_loss,train_loss,train_bce,train_mr,train_ms,train_acc,val_loss,val_f1,val_auroc_entropy,test_acc_id,test_auroc_entropy,epoch,num_id_classes,focal_strategy,num_output_heads,ablation_group
7lecb2z5,run-20260404_175255-7lecb2z5,chameleon,random_set,GAT,64,3,0.058619988044482214,0.08636502847027079,-1,False,full,False,False,False,0.632160484790802,0.6316554546356201,0.15126290917396545,,0.372488409280777,0.631432056427002,0.4063926935195923,0.5,0.3695652186870575,0.5,69.0,3,full_power_set,7,standard_focal_sets__full
s1ns5ncc,run-20260404_175311-s1ns5ncc,chameleon,random_set,GAT,64,2,0.023645055886934916,0.05075573429518222,-1,False,full,False,False,False,0.6050890684127808,0.604698121547699,0.1134294793009758,,0.372488409280777,0.6035020351409912,0.4063926935195923,0.7038553953170776,0.3695652186870575,0.699999988079071,60.0,3,full_power_set,7,standard_focal_sets__full
mff2kv0r,run-20260404_175332-mff2kv0r,chameleon,random_set,GAT,128,3,0.02228937227140599,0.0249831295720347,-1,False,full,False,False,False,0.5640840530395508,0.5639212727546692,0.04184645786881447,,0.372488409280777,0.5615212917327881,0.4063926935195923,0.8050651550292969,0.3695652186870575,0.787248432636261,56.0,3,full_power_set,7,standard_focal_sets__full
yrumucpq,run-20260404_175348-yrumucpq,chameleon,random_set,GAT,256,3,0.011180380410931492,0.019376722110256196,-1,False,full,False,False,False,0.5565241575241089,0.5564167499542236,0.024934198707342148,,0.372488409280777,0.5534309148788452,0.4063926935195923,0.8393745422363281,0.3695652186870575,0.8237218856811523,63.0,3,full_power_set,7,standard_focal_sets__full
mmtacvj0,run-20260404_175410-mmtacvj0,chameleon,random_set,GAT,256,3,0.027119132409080537,0.011802136955872532,-1,False,full,False,False,False,0.5494584441184998,0.549402117729187,0.01269594207406044,,0.372488409280777,0.545832633972168,0.4063926935195923,0.8320426940917969,0.3695652186870575,0.8177434802055359,60.0,3,full_power_set,7,standard_focal_sets__full
zibgqpby,run-20260404_175431-zibgqpby,chameleon,random_set,GAT,256,3,0.0055664971007479145,0.008480438701828236,-1,False,full,False,False,False,0.3280886709690094,0.3279857933521271,0.07683181762695312,,0.8423492908477783,0.6496725678443909,0.4885844886302948,0.6934205889701843,0.5181159377098083,0.6667975187301636,86.0,3,full_power_set,7,standard_focal_sets__full
prkplcj9,run-20260404_175528-prkplcj9,chameleon,random_set,GAT,256,3,0.023584703414157613,0.050641576196013664,-1,False,full,False,False,False,0.6031062006950378,0.6027247905731201,0.11188675463199615,,0.372488409280777,0.6018264889717102,0.4063926935195923,0.5,0.3695652186870575,0.5,56.0,3,full_power_set,7,standard_focal_sets__full
0g9lf9fq,run-20260404_175551-0g9lf9fq,chameleon,random_set,GAT,64,3,0.05480512285291494,0.0966697930189722,-1,False,full,False,False,False,0.6370546221733093,0.6365294456481934,0.15598946809768677,,0.372488409280777,0.6362674236297607,0.4063926935195923,0.5,0.3695652186870575,0.5,63.0,3,full_power_set,7,standard_focal_sets__full
6jz8ucg1,run-20260404_175607-6jz8ucg1,chameleon,random_set,GAT,128,3,0.03848345886871401,0.012671466964137386,-1,False,full,False,False,False,0.5482872128486633,0.5482266545295715,0.015221824869513512,,0.372488409280777,0.5449024438858032,0.4063926935195923,0.8245461583137512,0.3695652186870575,0.8110709190368652,58.0,3,full_power_set,7,standard_focal_sets__full
agkoz87n,run-20260404_175623-agkoz87n,chameleon,random_set,GAT,256,3,0.02339911836062782,0.00964461178590205,-1,False,full,False,False,False,0.5470418930053711,0.5469962954521179,0.01173613965511322,,0.372488409280777,0.5432600975036621,0.4063926935195923,0.8258328437805176,0.3695652186870575,0.8102858066558838,60.0,3,full_power_set,7,standard_focal_sets__full
