run_id,run_name,dataset,model,gnn_type,hidden_channels,num_layers,lr,weight_decay,batch_size,singletons_only,loss_ablation,use_bce_loss,use_mr_loss,use_ms_loss,train_loss,train_bce,train_mr,train_ms,train_acc,val_loss,val_f1,val_auroc_entropy,test_acc_id,test_auroc_entropy,epoch,num_id_classes,focal_strategy,num_output_heads,ablation_group
3c37dr9o,run-20260414_003803-3c37dr9o,roman_empire,random_set,GAT,64,3,0.07200698206080804,0.006273202164454143,-1,False,full,False,False,False,0.3935757279396057,0.3930462896823883,0.018838858231902122,,0.21031442284584045,0.39143162965774536,0.21004216372966766,0.3883923292160034,0.2105061411857605,0.3566006124019623,63.0,13,budgeted,45,standard_focal_sets__full
ns54cu23,run-20260414_003937-ns54cu23,roman_empire,random_set,GAT,64,3,0.09949240096599642,0.05712529513233573,-1,False,full,False,False,False,0.650382936000824,0.6488866209983826,0.2312118411064148,,0.03163343667984009,0.65028977394104,0.03142966702580452,0.5160093903541565,0.031441718339920044,0.49509933590888977,55.0,13,budgeted,45,standard_focal_sets__full
en2p1tyh,run-20260414_004106-en2p1tyh,roman_empire,random_set,GAT,128,2,0.046193571163992135,0.05011708944462822,-1,False,full,False,False,False,0.6432048678398132,0.6426293253898621,0.21791259944438934,,0.03163343667984009,0.6433302760124207,0.03142966702580452,0.5,0.031441718339920044,0.5,58.0,13,budgeted,45,standard_focal_sets__full
p5me2czz,run-20260414_004240-p5me2czz,roman_empire,random_set,GAT,128,3,0.0885480875994467,0.01870666328629502,-1,False,full,False,False,False,0.3837040662765503,0.3834056556224823,0.025979463011026382,,0.13017638027668,0.3853393793106079,0.21004216372966766,0.3676798641681671,0.2105061411857605,0.33643826842308044,86.0,13,budgeted,45,standard_focal_sets__full
hhnukyuk,run-20260414_004450-hhnukyuk,roman_empire,random_set,GAT,128,3,0.04318108009487832,0.08722113299121219,-1,False,full,False,False,False,0.6683470606803894,0.6658365726470947,0.2490418255329132,,0.08167178183794022,0.6684049963951111,0.08164047449827194,0.5000280141830444,0.08167178183794022,0.4694049060344696,56.0,13,budgeted,45,standard_focal_sets__full
w3y1kt5v,run-20260414_004629-w3y1kt5v,roman_empire,random_set,GAT,64,3,0.0938130780963531,0.06896850215495857,-1,False,full,False,False,False,0.6604263782501221,0.6524728536605835,0.30248329043388367,,0.11924846470355988,0.6602177023887634,0.11920276284217834,0.5,0.11924846470355988,0.5,53.0,13,budgeted,45,standard_focal_sets__full
zu7ovicj,run-20260414_004752-zu7ovicj,roman_empire,random_set,GAT,64,3,0.025167033554288953,0.06487761700506263,-1,False,full,False,False,False,0.6560704112052917,0.6508676409721375,0.27205100655555725,,0.13017638027668,0.6560811400413513,0.13031813502311707,0.5,0.13036809861660004,0.5,61.0,13,budgeted,45,standard_focal_sets__full
osqc2le6,run-20260414_004930-osqc2le6,roman_empire,random_set,GAT,64,3,0.08744928068757761,0.05981807770395328,-1,False,full,False,False,False,0.6518786549568176,0.6512843370437622,0.22314326465129852,,0.13017638027668,0.6519176363945007,0.13031813502311707,0.5,0.13036809861660004,0.5,55.0,13,budgeted,45,standard_focal_sets__full
5b2ivqhp,run-20260414_005100-5b2ivqhp,roman_empire,random_set,GAT,128,2,0.019478027862893953,0.07608198047191185,-1,False,full,False,False,False,0.6650062799453735,0.6634795665740967,0.20640036463737488,,0.03163343667984009,0.6650206446647644,0.03142966702580452,0.5178931951522827,0.031441718339920044,0.4998416006565094,64.0,13,budgeted,45,standard_focal_sets__full
yvywa6ql,run-20260414_005234-yvywa6ql,roman_empire,random_set,GAT,256,2,0.029381106099595964,0.08575490125481268,-1,False,full,False,False,False,0.6651455163955688,0.659794807434082,0.27865487337112427,,0.08167178183794022,0.6652092337608337,0.08164047449827194,0.49596232175827026,0.08167178183794022,0.49980828166007996,59.0,13,budgeted,45,standard_focal_sets__full
