dataset,method,status,checkpoints,setup_mean_seconds,setup_std_seconds,additional_forward_mean_seconds,additional_forward_std_seconds,note
amazon_ratings,energy,complete,3,0.0,0.0,0.001391,0.000508,
amazon_ratings,knn,complete,3,0.021133,0.002118,0.229383,0.031893,
amazon_ratings,mahalanobis,complete,3,0.028514,0.001621,0.001615,0.001376,
amazon_ratings,odin,complete,3,0.0,0.0,0.060359,0.003867,
arxiv,energy,complete,3,0.0,0.0,0.010924,0.009625,
arxiv,knn,complete,3,0.188427,0.02577,16.332308,0.224526,
arxiv,mahalanobis,complete,3,0.214413,0.005244,0.010101,0.005859,
arxiv,odin,complete,3,0.0,0.0,0.440586,0.021547,
chameleon,energy,complete,3,0.0,0.0,0.000563,0.000689,
chameleon,knn,complete,3,0.009099,0.000527,0.006183,0.000898,
chameleon,mahalanobis,complete,3,0.013982,0.004108,0.000824,0.00119,
chameleon,odin,complete,3,0.0,0.0,0.028661,0.000956,
coauthor,energy,complete,3,0.0,0.0,0.00626,0.006986,
coauthor,knn,complete,3,0.121205,0.011273,0.266344,0.016922,
coauthor,mahalanobis,complete,3,0.130919,0.002924,0.007487,0.000685,
coauthor,odin,complete,3,0.0,0.0,0.714208,0.35484,
cora,energy,complete,3,0.0,0.0,0.00029,0.000281,
cora,knn,complete,3,0.005072,0.000764,0.008183,0.001506,
cora,mahalanobis,complete,3,0.008575,0.001958,0.001153,0.000206,
cora,odin,complete,3,0.0,0.0,0.024072,0.008167,
patents,all,excluded,0,,,,,Excluded from Task 2 until the remaining tasks are satisfied.
reddit2,all,excluded,0,,,,,Excluded from Task 2 until the remaining tasks are satisfied.
roman_empire,energy,complete,3,0.0,0.0,0.001312,0.000274,
roman_empire,knn,complete,3,0.01442,0.000207,0.225063,0.009886,
roman_empire,mahalanobis,complete,3,0.024795,0.001477,0.011852,0.000257,
roman_empire,odin,complete,3,0.0,0.0,0.050036,0.001254,
squirrel,energy,complete,3,0.0,0.0,-0.001675,0.004596,
squirrel,knn,complete,3,0.030099,0.000875,0.0174,0.000318,
squirrel,mahalanobis,complete,3,0.042289,0.004513,0.000572,0.001256,
squirrel,odin,complete,3,0.0,0.0,0.090539,0.000742,
