dataset,checkpoint,num_nodes,hidden_channels,num_classes,num_focal_sets,standard_head_mean_ms,standard_head_std_ms,random_set_layer_mean_ms,random_set_layer_std_ms,additional_random_set_layer_mean_ms
amazon_ratings,nj4h2q2c_amazon_ratings_val_f1=0.6369.ckpt,24492,64,3,7,0.45557299999999573,0.05865771705411403,0.7760549999999977,0.097520463044945,0.320482000000002
amazon_ratings,ewzbmecp_amazon_ratings_val_f1=0.6365.ckpt,24492,64,3,7,0.4859800000000014,0.036795596543607687,0.9053309999999916,0.0679634002055588,0.41935099999999015
amazon_ratings,j9quvbdi_amazon_ratings_val_f1=0.6365.ckpt,24492,64,3,7,0.47542900000000726,0.04361979817125289,0.844699000000002,0.06427217568667434,0.36926999999999477
arxiv,4fd33b8n_arxiv_val_f1=0.5201.ckpt,169343,64,3,7,3.1354939999999853,0.24512501161144548,5.7629669999999855,0.31939756649432816,2.627473
arxiv,69havk2g_arxiv_val_f1=0.5195.ckpt,169343,64,3,7,3.292700000000028,0.08422681446545251,5.764750000000004,0.3231344672694485,2.4720499999999754
arxiv,wylldzr9_arxiv_val_f1=0.5195.ckpt,169343,64,3,7,2.662344999999995,0.17285298543850955,5.676949000000011,0.3138474538768389,3.0146040000000163
chameleon,e9pwnd6f_chameleon_val_f1=0.5662.ckpt,2277,64,3,7,0.07624299999999806,0.00462400070287476,0.14844100000003024,0.0048169108357903586,0.0721980000000322
chameleon,lxz52z7e_chameleon_val_f1=0.5594.ckpt,2277,64,3,7,0.07409799999999578,0.0009570436249309364,0.1499029999999912,0.008639561331496484,0.07580499999999545
chameleon,zflp8axw_chameleon_val_f1=0.5114.ckpt,2277,64,3,7,0.054085999999990975,0.0005252309016141598,0.11451899999997296,0.008407046449252654,0.06043299999998198
coauthor,iqtvi6dk_coauthor_val_f1=0.9537.ckpt,18333,64,11,43,0.8639990000000175,0.11531684636255513,1.3493060000000234,0.18266700219937354,0.4853070000000059
coauthor,96lsiwam_coauthor_val_f1=0.9470.ckpt,18333,64,11,43,0.8958829999999729,0.12061672580948199,1.3774959999999934,0.15524359384526612,0.4816130000000206
coauthor,mn0y80cl_coauthor_val_f1=0.9424.ckpt,18333,64,11,43,0.8351490000000084,0.08358203226474017,1.3294579999999991,0.09927626583177457,0.49430899999999073
cora,rz9l4nlx_cora_val_f1=0.9521.ckpt,2708,64,3,7,0.07071900000001462,0.016249180517794035,0.12575200000000564,0.0010545413695422332,0.05503299999999101
cora,i0ecwdnk_cora_val_f1=0.9461.ckpt,2708,64,3,7,0.06153400000002308,0.00043141337483506236,0.15589399999999642,0.021773299129889557,0.09435999999997335
cora,ft72qzvd_cora_val_f1=0.9401.ckpt,2708,64,3,7,0.08057799999997785,0.011690699615523116,0.16983000000001525,0.0216834726808128,0.08925200000003741
roman_empire,3qu0v04a_roman_empire_val_f1=0.2649.ckpt,22662,64,13,45,0.8932179999999867,0.04143073204158343,1.5164299999999995,0.031079348649868426,0.6232120000000129
roman_empire,gzuvnddx_roman_empire_val_f1=0.2568.ckpt,22662,64,13,45,0.8921860000000059,0.01440504052404636,1.6218190000000197,0.06281739820701486,0.7296330000000139
roman_empire,dqmedoyu_roman_empire_val_f1=0.2100.ckpt,22662,64,13,45,0.9500389999999826,0.050956166874076544,1.5498380000000012,0.07140579874912835,0.5997990000000185
squirrel,5vlg5fsc_squirrel_val_f1=0.4033.ckpt,5201,64,3,7,0.10744799999999444,0.0015692976135823788,0.24023199999996694,0.027388785250527712,0.1327839999999725
squirrel,ruynhnvu_squirrel_val_f1=0.4033.ckpt,5201,64,3,7,0.14026799999999895,0.018476119587158397,0.25355499999999864,0.013654940955592903,0.11328699999999968
squirrel,m8kh94xe_squirrel_val_f1=0.3798.ckpt,5201,64,3,7,0.15874499999997127,0.009289908503285347,0.24245500000001027,0.02099321289134266,0.083710000000039
